sep=|
ID_ENTIDAD|PARTIDO_CI|CANDIDATURA_PROPIETARIA
0|PAN|Bertha Xóchitl Gálvez Ruiz
0|PRI|Bertha Xóchitl Gálvez Ruiz
0|PRD|Bertha Xóchitl Gálvez Ruiz
0|PVEM|Claudia Sheinbaum Pardo
0|PT|Claudia Sheinbaum Pardo
0|MC|Jorge Álvarez Máynez
0|MORENA|Claudia Sheinbaum Pardo
0|PAN_PRI_PRD|Bertha Xóchitl Gálvez Ruiz
0|PAN_PRI|Bertha Xóchitl Gálvez Ruiz
0|PAN_PRD|Bertha Xóchitl Gálvez Ruiz
0|PRI_PRD|Bertha Xóchitl Gálvez Ruiz
0|PVEM_PT_MORENA|Claudia Sheinbaum Pardo
0|PVEM_PT|Claudia Sheinbaum Pardo
0|PVEM_MORENA|Claudia Sheinbaum Pardo
0|PT_MORENA|Claudia Sheinbaum Pardo
