"id","est_dis","upm","factor","ictpc"
"010000500211","3","1",206,5671.20797622017
"010000500212","3","1",206,5671.20797622017
"010000500213","3","1",206,5671.20797622017
"010000500311","3","1",206,18546.531417879
"010000500312","3","1",206,18546.531417879
"010000500411","3","1",206,12062.0381561599
"010000500412","3","1",206,12062.0381561599
"010000500413","3","1",206,12062.0381561599
"010001200211","2","2",167,7785.90017457939
"010001200212","2","2",167,7785.90017457939
"010001200213","2","2",167,7785.90017457939
"010001200214","2","2",167,7785.90017457939
"010001200221","2","2",167,8270.322562188
"010001200411","2","2",167,11280.5225979071
"010001200412","2","2",167,11280.5225979071
"010001200413","2","2",167,11280.5225979071
"010001200414","2","2",167,11280.5225979071
"010001200611","2","2",167,6053.87416558154
"010001200612","2","2",167,6053.87416558154
"010001200613","2","2",167,6053.87416558154
"010001200614","2","2",167,6053.87416558154
"010001930111","3","3",212,28197.0599614649
"010001930211","3","3",212,16377.5780067283
"010001930212","3","3",212,16377.5780067283
"010001930213","3","3",212,16377.5780067283
"010001930311","3","3",212,6644.32764859634
"010001930312","3","3",212,6644.32764859634
"010001930411","3","3",212,1400.9986776254
"010001930412","3","3",212,1400.9986776254
"010001930413","3","3",212,1400.9986776254
"010001930414","3","3",212,1400.9986776254
"010001930415","3","3",212,1400.9986776254
"010002330111","2","4",184,26667.5862179756
"010002330211","2","4",184,11295.2883205488
"010002330212","2","4",184,11295.2883205488
"010002330213","2","4",184,11295.2883205488
"010002330214","2","4",184,11295.2883205488
"010002330311","2","4",184,11706.0489633859
"010002330312","2","4",184,11706.0489633859
"010002330313","2","4",184,11706.0489633859
"010002330411","2","4",184,4472.93417493733
"010002330511","2","4",184,1988.39426822718
"010002330512","2","4",184,1988.39426822718
"010002330513","2","4",184,1988.39426822718
"010002330514","2","4",184,1988.39426822718
"010002330515","2","4",184,1988.39426822718
"010002330516","2","4",184,1988.39426822718
"010002330611","2","4",184,2611.9818440701
"010002330612","2","4",184,2611.9818440701
"010002330613","2","4",184,2611.9818440701
"010002330614","2","4",184,2611.9818440701
"010004830111","1","5",165,9057.82706239526
"010004830112","1","5",165,9057.82706239526
"010004830211","1","5",165,5382.83593364539
"010004830212","1","5",165,5382.83593364539
"010004830213","1","5",165,5382.83593364539
"010004830311","1","5",165,12806.4452320785
"010004830611","1","5",165,2228.80521227958
"010004830612","1","5",165,2228.80521227958
"010005050111","2","6",198,5950.94329111371
"010005050112","2","6",198,5950.94329111371
"010005050113","2","6",198,5950.94329111371
"010005050114","2","6",198,5950.94329111371
"010005050115","2","6",198,5950.94329111371
"010005050116","2","6",198,5950.94329111371
"010005050117","2","6",198,5950.94329111371
"010005050118","2","6",198,5950.94329111371
"010005050119","2","6",198,5950.94329111371
"0100050501110","2","6",198,5950.94329111371
"0100050501111","2","6",198,5950.94329111371
"010005050211","2","6",198,5675.60046336383
"010005050212","2","6",198,5675.60046336383
"010005050213","2","6",198,5675.60046336383
"010005050214","2","6",198,5675.60046336383
"010005050215","2","6",198,5675.60046336383
"010005050216","2","6",198,5675.60046336383
"010005050311","2","6",198,3364.14960301448
"010005050312","2","6",198,3364.14960301448
"010005050313","2","6",198,3364.14960301448
"010005050314","2","6",198,3364.14960301448
"010005050511","2","6",198,6346.81054864242
"010005050512","2","6",198,6346.81054864242
"010005050513","2","6",198,6346.81054864242
"010005050611","2","6",198,5398.62327709682
"010005050612","2","6",198,5398.62327709682
"010005050613","2","6",198,5398.62327709682
"010005550111","1","7",141,11646.2551003471
"010005550112","1","7",141,11646.2551003471
"010005550211","1","7",141,3727.4251840189
"010005550212","1","7",141,3727.4251840189
"010005550213","1","7",141,3727.4251840189
"010005550214","1","7",141,3727.4251840189
"010005550511","1","7",141,5121.45771995554
"010005550512","1","7",141,5121.45771995554
"010006750111","3","8",221,6208.85842225106
"010006750112","3","8",221,6208.85842225106
"010006750113","3","8",221,6208.85842225106
"010006750114","3","8",221,6208.85842225106
"010006750211","3","8",221,5280.99401712748
"010006750212","3","8",221,5280.99401712748
"010006750311","3","8",221,7022.59892729461
"010006750312","3","8",221,7022.59892729461
"010006750313","3","8",221,7022.59892729461
"010006750411","3","8",221,4789.85957722792
"010006750412","3","8",221,4789.85957722792
"010006750413","3","8",221,4789.85957722792
"010006750511","3","8",221,20299.6262863856
"010006750611","3","8",221,10133.0416688007
"010006750612","3","8",221,10133.0416688007
"010007170111","1","9",165,4414.45998408919
"010007170112","1","9",165,4414.45998408919
"010007170113","1","9",165,4414.45998408919
"010007170114","1","9",165,4414.45998408919
"010007170115","1","9",165,4414.45998408919
"010007170116","1","9",165,4414.45998408919
"010007170211","1","9",165,6678.99984063661
"010007170212","1","9",165,6678.99984063661
"010007170213","1","9",165,6678.99984063661
"010007170311","1","9",165,2900.49526861213
"010007170312","1","9",165,2900.49526861213
"010007170313","1","9",165,2900.49526861213
"010007170314","1","9",165,2900.49526861213
"010007170315","1","9",165,2900.49526861213
"010007170511","1","9",165,21028.7845311028
"010007170512","1","9",165,21028.7845311028
"010007170611","1","9",165,2346.22822665056
"010007170612","1","9",165,2346.22822665056
"010007170613","1","9",165,2346.22822665056
"010007170614","1","9",165,2346.22822665056
"010007170615","1","9",165,2346.22822665056
"010007570111","2","10",185,1238.16634327647
"010007570112","2","10",185,1238.16634327647
"010007570211","2","10",185,4579.33909299055
"010007570212","2","10",185,4579.33909299055
"010007570213","2","10",185,4579.33909299055
"010007570214","2","10",185,4579.33909299055
"010007570215","2","10",185,4579.33909299055
"010007570311","2","10",185,5807.22837504452
"010007570312","2","10",185,5807.22837504452
"010007570313","2","10",185,5807.22837504452
"010007570314","2","10",185,5807.22837504452
"010007570411","2","10",185,4128.46589828791
"010007570412","2","10",185,4128.46589828791
"010007570511","2","10",185,1944.1139703378
"010007570512","2","10",185,1944.1139703378
"010007570513","2","10",185,1944.1139703378
"010007570514","2","10",185,1944.1139703378
"010007570611","2","10",185,2742.77139221798
"010007570612","2","10",185,2742.77139221798
"010007570613","2","10",185,2742.77139221798
"010007570614","2","10",185,2742.77139221798
"010008790111","1","11",167,4298.51069200191
"010008790211","1","11",167,5195.12660433742
"010008790311","1","11",167,2234.71670916362
"010008790312","1","11",167,2234.71670916362
"010008790313","1","11",167,2234.71670916362
"010008790314","1","11",167,2234.71670916362
"010008790411","1","11",167,3641.11651789068
"010008790412","1","11",167,3641.11651789068
"010008790413","1","11",167,3641.11651789068
"010008790414","1","11",167,3641.11651789068
"010008790415","1","11",167,3641.11651789068
"010008790416","1","11",167,3641.11651789068
"010008790611","1","11",167,11181.7407656612
"010008790612","1","11",167,11181.7407656612
"010009420111","1","12",173,7081.92864467623
"010009420112","1","12",173,7081.92864467623
"010009420113","1","12",173,7081.92864467623
"010009420211","1","12",173,6331.1395187119
"010009420212","1","12",173,6331.1395187119
"010009420213","1","12",173,6331.1395187119
"010009420214","1","12",173,6331.1395187119
"010009420215","1","12",173,6331.1395187119
"010009420216","1","12",173,6331.1395187119
"010009420217","1","12",173,6331.1395187119
"010009420218","1","12",173,6331.1395187119
"010009420219","1","12",173,6331.1395187119
"010009420311","1","12",173,3188.32414033368
"010009420312","1","12",173,3188.32414033368
"010009420313","1","12",173,3188.32414033368
"010009420314","1","12",173,3188.32414033368
"010009420411","1","12",173,5901.27665627063
"010009420611","1","12",173,8330.29738139992
"010009420612","1","12",173,8330.29738139992
"010009420613","1","12",173,8330.29738139992
"010009420614","1","12",173,8330.29738139992
"010009420615","1","12",173,8330.29738139992
"010009420616","1","12",173,8330.29738139992
"010009890111","2","13",169,1388.39489323464
"010009890112","2","13",169,1388.39489323464
"010009890211","2","13",169,4325.69546722286
"010009890212","2","13",169,4325.69546722286
"010009890213","2","13",169,4325.69546722286
"010009890214","2","13",169,4325.69546722286
"010009890215","2","13",169,4325.69546722286
"010009890311","2","13",169,10512.5800692748
"010009890312","2","13",169,10512.5800692748
"010009890411","2","13",169,7942.08378436367
"010009890412","2","13",169,7942.08378436367
"010013420311","2","14",184,4133.87566530583
"010013420312","2","14",184,4133.87566530583
"010013420313","2","14",184,4133.87566530583
"010013420314","2","14",184,4133.87566530583
"010013420315","2","14",184,4133.87566530583
"010013420411","2","14",184,6194.61395630285
"010013420412","2","14",184,6194.61395630285
"010013420511","2","14",184,31256.9001810569
"010013420512","2","14",184,31256.9001810569
"010013420513","2","14",184,31256.9001810569
"010013420611","2","14",184,10756.6194540034
"010013420612","2","14",184,10756.6194540034
"010013420613","2","14",184,10756.6194540034
"010013420614","2","14",184,10756.6194540034
"010013420615","2","14",184,10756.6194540034
"010013740111","2","15",157,3294.90341429693
"010013740112","2","15",157,3294.90341429693
"010013740121","2","15",157,3619.91793038818
"010013740122","2","15",157,3619.91793038818
"010013740211","2","15",157,8001.64610828546
"010013740212","2","15",157,8001.64610828546
"010013740213","2","15",157,8001.64610828546
"010013740214","2","15",157,8001.64610828546
"010013740311","2","15",157,6111.07365559248
"010013740312","2","15",157,6111.07365559248
"010013740313","2","15",157,6111.07365559248
"010013740314","2","15",157,6111.07365559248
"010013740411","2","15",157,4630.8621471132
"010013740511","2","15",157,2785.98829806497
"010013740512","2","15",157,2785.98829806497
"010013740513","2","15",157,2785.98829806497
"010013740514","2","15",157,2785.98829806497
"010013740515","2","15",157,2785.98829806497
"010013740516","2","15",157,2785.98829806497
"010013740517","2","15",157,2785.98829806497
"010014260111","2","16",159,3173.64177854951
"010014260112","2","16",159,3173.64177854951
"010014260311","2","16",159,8203.08625959965
"010014260312","2","16",159,8203.08625959965
"010014260411","2","16",159,3394.94469247741
"010014260412","2","16",159,3394.94469247741
"010014260413","2","16",159,3394.94469247741
"010014260414","2","16",159,3394.94469247741
"010014260511","2","16",159,8263.00924434931
"010014260512","2","16",159,8263.00924434931
"010014260611","2","16",159,11341.6043076893
"010014260612","2","16",159,11341.6043076893
"010014260613","2","16",159,11341.6043076893
"010014980111","2","17",150,3003.43056679699
"010014980112","2","17",150,3003.43056679699
"010014980113","2","17",150,3003.43056679699
"010014980114","2","17",150,3003.43056679699
"010014980211","2","17",150,9917.10417457221
"010014980212","2","17",150,9917.10417457221
"010014980213","2","17",150,9917.10417457221
"010014980214","2","17",150,9917.10417457221
"010014980311","2","17",150,12426.2498541118
"010014980312","2","17",150,12426.2498541118
"010014980411","2","17",150,5991.12275953726
"010014980412","2","17",150,5991.12275953726
"010014980511","2","17",150,11541.4069179916
"010014980611","2","17",150,9430.66436799668
"010014980612","2","17",150,9430.66436799668
"010014980613","2","17",150,9430.66436799668
"010014980614","2","17",150,9430.66436799668
"010015000111","2","18",204,47285.5358635707
"010015000211","2","18",204,15067.4766255441
"010015000212","2","18",204,15067.4766255441
"010015000411","2","18",204,11719.45510109
"010015000412","2","18",204,11719.45510109
"010015000611","2","18",204,13561.0343147616
"010015000612","2","18",204,13561.0343147616
"010015000613","2","18",204,13561.0343147616
"010015230211","2","19",155,8011.08540298198
"010015230212","2","19",155,8011.08540298198
"010015230511","2","19",155,20682.2060543228
"010015230512","2","19",155,20682.2060543228
"010015230513","2","19",155,20682.2060543228
"010015230514","2","19",155,20682.2060543228
"010015230515","2","19",155,20682.2060543228
"010015230611","2","19",155,25414.3987212349
"010015850111","2","20",202,5337.65306601345
"010015850112","2","20",202,5337.65306601345
"010015850113","2","20",202,5337.65306601345
"010015850211","2","20",202,3519.87176960166
"010015850212","2","20",202,3519.87176960166
"010015850213","2","20",202,3519.87176960166
"010015850311","2","20",202,10089.8535347014
"010015850312","2","20",202,10089.8535347014
"010015850313","2","20",202,10089.8535347014
"010015850411","2","20",202,7795.71719624093
"010015850412","2","20",202,7795.71719624093
"010015850413","2","20",202,7795.71719624093
"010015850511","2","20",202,10165.7594884939
"010015850611","2","20",202,2703.38064007396
"010015850612","2","20",202,2703.38064007396
"010015850613","2","20",202,2703.38064007396
"010015850614","2","20",202,2703.38064007396
"010015850615","2","20",202,2703.38064007396
"010016170111","2","21",154,4392.99708957527
"010016170112","2","21",154,4392.99708957527
"010016170113","2","21",154,4392.99708957527
"010016170211","2","21",154,27202.6015309499
"010016170311","2","21",154,4761.17871477038
"010016170411","2","21",154,8658.56858265598
"010016170412","2","21",154,8658.56858265598
"010016170413","2","21",154,8658.56858265598
"010016170414","2","21",154,8658.56858265598
"010016170415","2","21",154,8658.56858265598
"010016170511","2","21",154,23246.4655083928
"010016170512","2","21",154,23246.4655083928
"010016170611","2","21",154,94948.3022733005
"010016490211","2","22",159,3493.57603629576
"010016490212","2","22",159,3493.57603629576
"010016490411","2","22",159,11387.1903092836
"010016490412","2","22",159,11387.1903092836
"010016490413","2","22",159,11387.1903092836
"010016490511","2","22",159,1687.8423322554
"010016490512","2","22",159,1687.8423322554
"010016490513","2","22",159,1687.8423322554
"010016490514","2","22",159,1687.8423322554
"010016490515","2","22",159,1687.8423322554
"010016490516","2","22",159,1687.8423322554
"010016490517","2","22",159,1687.8423322554
"010016490518","2","22",159,1687.8423322554
"010016490519","2","22",159,1687.8423322554
"010016490611","2","22",159,4766.30851844054
"010016490612","2","22",159,4766.30851844054
"010016490613","2","22",159,4766.30851844054
"010016490614","2","22",159,4766.30851844054
"010016490615","2","22",159,4766.30851844054
"010017620611","2","23",201,6326.5652828443
"010017620612","2","23",201,6326.5652828443
"010017620613","2","23",201,6326.5652828443
"010017620614","2","23",201,6326.5652828443
"010018240111","2","24",184,10679.1749677158
"010018240112","2","24",184,10679.1749677158
"010018240113","2","24",184,10679.1749677158
"010018240114","2","24",184,10679.1749677158
"010018240311","2","24",184,2350.73484167987
"010018240411","2","24",184,1743.42174980461
"010018240412","2","24",184,1743.42174980461
"010018240413","2","24",184,1743.42174980461
"010018240414","2","24",184,1743.42174980461
"010018240415","2","24",184,1743.42174980461
"010018240416","2","24",184,1743.42174980461
"010018240417","2","24",184,1743.42174980461
"010018240418","2","24",184,1743.42174980461
"010018240419","2","24",184,1743.42174980461
"0100182404110","2","24",184,1743.42174980461
"0100182404111","2","24",184,1743.42174980461
"010020960111","2","25",152,24170.828873552
"010020960112","2","25",152,24170.828873552
"010020960611","2","25",152,13658.1624173083
"010022380111","2","26",193,11101.3266921856
"010022380112","2","26",193,11101.3266921856
"010022380411","2","26",193,15267.8224305656
"010022380511","2","26",193,14822.5435567427
"010022380512","2","26",193,14822.5435567427
"010022380611","2","26",193,6350.51538692072
"010022380612","2","26",193,6350.51538692072
"010022380613","2","26",193,6350.51538692072
"010022380614","2","26",193,6350.51538692072
"010022470111","3","27",217,9249.50666705984
"010022470112","3","27",217,9249.50666705984
"010022470113","3","27",217,9249.50666705984
"010022470511","3","27",217,3856.93736662022
"010022470512","3","27",217,3856.93736662022
"010022470611","3","27",217,8540.34218106786
"010022470612","3","27",217,8540.34218106786
"010023000111","2","28",108,7590.38151074297
"010023000112","2","28",108,7590.38151074297
"010023000113","2","28",108,7590.38151074297
"010023000114","2","28",108,7590.38151074297
"010023000311","2","28",108,12531.1889897259
"010023000411","2","28",108,10305.2964593931
"010023000511","2","28",108,1310.35139700103
"010023000512","2","28",108,1310.35139700103
"010023000513","2","28",108,1310.35139700103
"010023000611","2","28",108,8596.033323356
"010023000612","2","28",108,8596.033323356
"010023530411","2","29",186,5961.61315261613
"010023530412","2","29",186,5961.61315261613
"010023530511","2","29",186,3010.42349915134
"010023530512","2","29",186,3010.42349915134
"010023530513","2","29",186,3010.42349915134
"010023530514","2","29",186,3010.42349915134
"010024050111","2","30",157,4596.87433103648
"010024050311","2","30",157,5026.81756377266
"010024050312","2","30",157,5026.81756377266
"010024050313","2","30",157,5026.81756377266
"010024050411","2","30",157,7346.62762043194
"010024050421","2","30",157,2154.32576448221
"010024050422","2","30",157,2154.32576448221
"010024050431","2","30",157,5247.87834083484
"010024050511","2","30",157,5690.25768602956
"010024670111","2","31",172,13575.0721669553
"010024670211","2","31",172,10367.5361068611
"010024670212","2","31",172,10367.5361068611
"010024670213","2","31",172,10367.5361068611
"010024670214","2","31",172,10367.5361068611
"010024670311","2","31",172,5377.62556731592
"010024670312","2","31",172,5377.62556731592
"010024670411","2","31",172,25775.2612037339
"010024670412","2","31",172,25775.2612037339
"010024670413","2","31",172,25775.2612037339
"010024670511","2","31",172,3866.02841575785
"010024670512","2","31",172,3866.02841575785
"010024670513","2","31",172,3866.02841575785
"010024670611","2","31",172,7277.41137804116
"010024670612","2","31",172,7277.41137804116
"010024670613","2","31",172,7277.41137804116
"010025890111","2","32",154,4859.73908317874
"010025890511","2","32",154,5571.63062658166
"010025890512","2","32",154,5571.63062658166
"010025890513","2","32",154,5571.63062658166
"010025890611","2","32",154,7025.56111638337
"010025890612","2","32",154,7025.56111638337
"010025890613","2","32",154,7025.56111638337
"010025890614","2","32",154,7025.56111638337
"010026220111","2","33",172,2866.52538940592
"010026220112","2","33",172,2866.52538940592
"010026220113","2","33",172,2866.52538940592
"010026220114","2","33",172,2866.52538940592
"010026220115","2","33",172,2866.52538940592
"010026220211","2","33",172,2560.42224826404
"010026220212","2","33",172,2560.42224826404
"010026220213","2","33",172,2560.42224826404
"010026220214","2","33",172,2560.42224826404
"010026220215","2","33",172,2560.42224826404
"010026220216","2","33",172,2560.42224826404
"010026220311","2","33",172,8295.07688393363
"010026220411","2","33",172,4466.55661847804
"010026220412","2","33",172,4466.55661847804
"010026220421","2","33",172,4314.67878736207
"010026220422","2","33",172,4314.67878736207
"010026220423","2","33",172,4314.67878736207
"010026220424","2","33",172,4314.67878736207
"010026940211","2","34",188,3890.96452304434
"010026940212","2","34",188,3890.96452304434
"010026940311","2","34",188,11480.9733370003
"010026940312","2","34",188,11480.9733370003
"010026940411","2","34",188,10841.6850239582
"010026940412","2","34",188,10841.6850239582
"010026940413","2","34",188,10841.6850239582
"010026940414","2","34",188,10841.6850239582
"010026940415","2","34",188,10841.6850239582
"010026940511","2","34",188,7361.44772448148
"010026940611","2","34",188,2634.62050564511
"010026940612","2","34",188,2634.62050564511
"010026940613","2","34",188,2634.62050564511
"010026940614","2","34",188,2634.62050564511
"010026940615","2","34",188,2634.62050564511
"010029360111","2","35",195,168094.898907539
"010029360112","2","35",195,168094.898907539
"010029360311","2","35",195,13772.0887475927
"010029360411","2","35",195,28889.663148529
"010030040211","1","36",161,4001.63535145377
"010030040212","1","36",161,4001.63535145377
"010030040213","1","36",161,4001.63535145377
"010030040214","1","36",161,4001.63535145377
"010030040311","1","36",161,12971.6390266434
"010030040411","1","36",161,11466.4658845696
"010030040412","1","36",161,11466.4658845696
"010030040413","1","36",161,11466.4658845696
"010030040511","1","36",161,20511.4312830864
"010030040512","1","36",161,20511.4312830864
"010030040513","1","36",161,20511.4312830864
"010030040514","1","36",161,20511.4312830864
"010030040611","1","36",161,87204.6169963305
"010030040612","1","36",161,87204.6169963305
"010030040613","1","36",161,87204.6169963305
"010030040614","1","36",161,87204.6169963305
"010033680111","2","37",192,1958.87622604251
